Community_Name,Country,Crop_Type,Farm_Size,Tech_Adoption_Index,Drone_Usage,Mobile_Tech,Annual_Yield,Fertilizer_Type,Irrigation,Weather_Station,Annual_Rainfall
Golden Cultivators Club,Nigeria,Barley,59.03,52,No,None,587.71,None,Sprinkler,Yes,1043.81
Meadow Farmers Group,Ghana,Rice,94.51,51,Yes,None,883.63,None,None,No,917.49
Harvest Agri Society,Kenya,Sorghum,57.89,37,No,None,415.27,Inorganic,Sprinkler,No,1028.75
Harvest Agricultural Association,Ghana,Wheat,13.27,43,Yes,Mobile Apps,480.65,Organic,None,Yes,866.42
Mountain Agricultural Association,Ghana,Wheat,17.92,52,No,None,638.79,None,Sprinkler,Yes,606.19
Valley Agricultural Association,Nigeria,Maize,98.92,1,No,None,571.98,None,Sprinkler,No,582.4
Meadow Growers Coalition,Nigeria,Wheat,72.83,53,No,None,747.11,None,Sprinkler,Yes,407.2
Harvest Farmers Union,Nigeria,Sorghum,5.88,83,Yes,Mobile Apps,136.35,None,Drip,Yes,1024.79
Golden Farmers Union,Tanzania,Wheat,70.67,76,No,SMS,607.16,Inorganic,None,No,1077.7
Valley Farmers Union,Ghana,Rice,41.81,89,No,None,209.5,Organic,Drip,Yes,1014.63
Golden Cultivators Club,Ghana,Barley,31.41,34,No,None,383.69,Organic,Drip,Yes,459.52
Golden Agri Society,Tanzania,Barley,16.25,45,No,None,695.46,None,Sprinkler,Yes,1009.78
Mountain Agricultural Association,Kenya,Wheat,84.15,71,Yes,Mobile Apps,241.67,Organic,None,Yes,436.61
Mountain Farmers Union,South Africa,Wheat,7.32,91,No,Mobile Apps,377.96,None,Drip,Yes,484.47
Harvest Farmers Group,Kenya,Wheat,29.69,78,No,None,732.71,None,Sprinkler,Yes,752.38
Meadow Cultivators Club,Tanzania,Wheat,31.33,54,No,SMS,685.72,Organic,None,No,780.92
Meadow Agricultural Association,Ghana,Rice,16.93,71,No,None,181.94,Organic,None,Yes,1052.89
Meadow Agri Society,Ghana,Sorghum,51.31,10,Yes,SMS,619.54,Inorganic,Drip,No,943.62
Valley Agricultural Association,Nigeria,Rice,2.16,28,Yes,SMS,232.53,None,Sprinkler,No,522.66
Savannah Agricultural Association,Nigeria,Rice,30.8,68,Yes,Mobile Apps,327.04,Organic,Drip,No,580.92
Harvest Agri Society,Ghana,Rice,93.43,62,No,Mobile Apps,513.29,Inorganic,None,No,628.54
River Cultivators Club,Ghana,Barley,31.74,46,Yes,Mobile Apps,198.41,Organic,Drip,Yes,498.94
Savannah Growers Coalition,Nigeria,Rice,36.69,6,Yes,SMS,994.28,Organic,Sprinkler,No,630.12
Meadow Growers Coalition,Nigeria,Wheat,47.84,63,Yes,SMS,248.83,None,None,Yes,982.88
Savannah Agri Society,Kenya,Rice,56.61,81,No,SMS,803.18,Inorganic,Sprinkler,No,593.12
Savannah Growers Coalition,Ghana,Wheat,81.06,63,No,Mobile Apps,846.85,None,Sprinkler,No,1068.29
Meadow Agri Society,Ghana,Sorghum,19.84,91,Yes,Mobile Apps,995.02,Organic,None,Yes,775.61
Golden Cultivators Club,Tanzania,Barley,87.3,11,No,Mobile Apps,485.79,Inorganic,Sprinkler,Yes,658.35
Meadow Agri Society,Kenya,Sorghum,76.0,11,No,None,886.69,None,Sprinkler,No,729.93
Meadow Agricultural Association,South Africa,Sorghum,72.54,35,No,SMS,961.79,Inorganic,Sprinkler,Yes,967.6
River Cultivators Club,South Africa,Barley,9.59,28,Yes,SMS,255.6,Organic,None,No,813.43
Sunrise Agricultural Association,South Africa,Wheat,3.14,10,No,None,531.49,Inorganic,Sprinkler,Yes,405.82
Mountain Agri Society,Nigeria,Wheat,59.81,52,No,SMS,154.01,Organic,Drip,Yes,1137.86
Harvest Agricultural Association,South Africa,Wheat,86.45,69,Yes,SMS,658.65,None,Drip,No,452.8
Prairie Agricultural Association,Tanzania,Barley,58.86,84,No,None,623.27,Organic,Sprinkler,Yes,1150.9
Harvest Growers Coalition,Nigeria,Rice,22.11,73,No,SMS,283.71,Organic,Drip,No,422.52
Meadow Growers Coalition,Nigeria,Maize,9.96,95,Yes,Mobile Apps,818.11,Inorganic,Drip,Yes,1016.78
Green Agricultural Association,South Africa,Rice,70.26,46,Yes,None,133.54,Inorganic,None,No,827.74
Golden Cultivators Club,Nigeria,Rice,72.46,32,No,SMS,825.6,None,Sprinkler,No,804.58
Mountain Farmers Group,Kenya,Sorghum,18.08,80,No,Mobile Apps,123.98,Inorganic,None,No,458.22
River Agri Society,Kenya,Maize,3.79,66,No,SMS,691.15,None,Sprinkler,Yes,591.0
River Agricultural Association,South Africa,Wheat,41.42,42,Yes,None,170.89,Organic,Drip,No,1022.04
Meadow Agri Society,Tanzania,Rice,58.69,17,Yes,Mobile Apps,326.1,Organic,None,No,1113.01
Savannah Agricultural Association,Nigeria,Barley,70.89,73,No,SMS,749.72,Inorganic,None,Yes,823.29
Mountain Growers Coalition,Ghana,Rice,81.18,52,No,None,352.36,Organic,Drip,No,682.67
Golden Cultivators Club,South Africa,Wheat,61.44,38,No,SMS,560.06,Organic,Drip,No,447.95
Valley Agricultural Association,Nigeria,Rice,11.98,71,No,SMS,923.72,None,Sprinkler,No,945.74
Valley Farmers Group,South Africa,Sorghum,68.58,33,Yes,Mobile Apps,144.67,Inorganic,Sprinkler,Yes,622.76
Meadow Farmers Group,South Africa,Sorghum,98.43,36,No,SMS,829.97,None,Drip,Yes,444.01
Prairie Farmers Union,Tanzania,Rice,90.65,40,Yes,None,158.74,Organic,Drip,No,932.68
Green Farmers Union,Ghana,Sorghum,87.3,96,Yes,None,214.12,Organic,None,Yes,788.58
Harvest Farmers Union,Nigeria,Barley,30.91,48,Yes,Mobile Apps,207.39,Organic,None,No,409.57
Savannah Agri Society,South Africa,Maize,75.33,9,No,Mobile Apps,994.69,Inorganic,Sprinkler,Yes,488.74
Savannah Farmers Union,South Africa,Rice,85.26,39,Yes,SMS,262.17,Organic,None,No,959.36
Mountain Agri Society,Nigeria,Barley,68.15,17,Yes,None,907.09,Organic,Drip,No,450.94
Green Cultivators Club,South Africa,Barley,25.81,24,No,Mobile Apps,991.84,None,Drip,No,1092.77
Meadow Cultivators Club,South Africa,Barley,95.43,40,No,SMS,445.41,Inorganic,Drip,Yes,649.06
River Farmers Group,South Africa,Wheat,45.63,35,Yes,SMS,667.94,Organic,Drip,No,470.93
Mountain Growers Coalition,Kenya,Rice,13.85,1,No,None,801.18,None,Sprinkler,No,1007.81
Prairie Agricultural Association,Kenya,Rice,11.87,82,Yes,None,453.38,Organic,Drip,Yes,819.54
Golden Farmers Union,Ghana,Rice,65.1,73,No,SMS,245.63,None,Drip,Yes,645.31
Green Farmers Group,Tanzania,Maize,44.33,48,Yes,None,490.39,Organic,Drip,No,724.88
Prairie Agri Society,Nigeria,Barley,10.35,66,Yes,SMS,794.7,Inorganic,Drip,Yes,417.13
Mountain Farmers Group,Tanzania,Rice,74.3,52,No,SMS,802.69,Inorganic,Sprinkler,No,930.16
Golden Agri Society,Tanzania,Sorghum,80.13,18,No,None,307.48,None,Sprinkler,Yes,692.62
Savannah Cultivators Club,Kenya,Wheat,72.82,25,No,Mobile Apps,257.47,Organic,None,Yes,971.23
Valley Agricultural Association,Ghana,Maize,21.02,53,Yes,SMS,928.5,Inorganic,Sprinkler,No,902.54
Meadow Growers Coalition,Tanzania,Wheat,69.29,50,Yes,None,139.6,Organic,Sprinkler,No,921.0
Valley Agri Society,Tanzania,Barley,2.06,24,No,SMS,761.26,Inorganic,Sprinkler,No,1034.31
Sunrise Cultivators Club,South Africa,Sorghum,31.21,16,Yes,SMS,141.78,None,None,Yes,904.93
River Agricultural Association,Nigeria,Barley,40.48,73,No,SMS,854.11,Inorganic,Drip,No,734.98
Green Farmers Group,Ghana,Rice,83.69,60,Yes,None,914.87,Organic,None,Yes,711.94
Green Farmers Union,Nigeria,Wheat,39.65,45,Yes,None,367.68,Organic,Drip,No,495.67
Mountain Growers Coalition,Kenya,Sorghum,2.12,54,No,None,166.54,Organic,Sprinkler,No,1023.55
Prairie Agri Society,Tanzania,Wheat,35.88,49,No,Mobile Apps,532.62,None,Drip,No,1008.89
Golden Cultivators Club,Tanzania,Maize,50.39,74,Yes,SMS,368.62,None,None,Yes,597.04
Sunrise Farmers Group,Nigeria,Sorghum,94.95,10,Yes,Mobile Apps,475.42,Organic,Drip,No,1090.15
Meadow Farmers Union,Kenya,Maize,94.16,11,Yes,SMS,698.49,Organic,Drip,Yes,871.2
Sunrise Agri Society,South Africa,Sorghum,18.91,39,Yes,None,288.84,Inorganic,Sprinkler,No,782.95
Golden Cultivators Club,South Africa,Rice,19.33,47,No,SMS,421.26,Inorganic,Drip,No,414.0
Sunrise Farmers Union,Tanzania,Wheat,17.17,55,No,SMS,804.31,Inorganic,Drip,Yes,706.19
Sunrise Agricultural Association,Tanzania,Wheat,79.1,7,No,SMS,679.39,Organic,Sprinkler,Yes,912.54
Meadow Cultivators Club,Ghana,Barley,1.6,87,Yes,Mobile Apps,393.65,Inorganic,None,Yes,471.8
Green Farmers Union,Nigeria,Sorghum,13.59,13,Yes,None,697.87,Organic,Sprinkler,No,767.65
Harvest Farmers Union,Tanzania,Sorghum,54.26,86,Yes,None,788.78,None,Drip,No,1194.75
Savannah Agri Society,Kenya,Maize,25.51,55,Yes,SMS,633.24,Inorganic,Sprinkler,Yes,973.23
Harvest Farmers Union,Nigeria,Sorghum,10.14,53,No,None,315.55,Organic,Sprinkler,No,837.5
Harvest Agricultural Association,Ghana,Wheat,36.63,99,No,Mobile Apps,100.22,Organic,Drip,Yes,826.43
Mountain Farmers Group,South Africa,Sorghum,28.15,16,No,Mobile Apps,822.56,None,None,Yes,435.01
Green Agricultural Association,Ghana,Barley,51.6,44,Yes,None,840.37,None,Sprinkler,No,1165.85
Savannah Farmers Group,Nigeria,Barley,97.94,4,No,Mobile Apps,727.84,None,None,Yes,1142.54
Meadow Cultivators Club,South Africa,Wheat,13.31,2,No,Mobile Apps,168.92,None,Sprinkler,No,945.92
Mountain Agricultural Association,Kenya,Wheat,37.9,8,No,None,626.7,Inorganic,Drip,Yes,479.21
Meadow Agri Society,South Africa,Wheat,93.27,83,No,None,838.92,None,Drip,No,566.27
Golden Farmers Union,South Africa,Sorghum,87.81,19,Yes,SMS,450.7,Organic,Sprinkler,Yes,547.13
Prairie Cultivators Club,Kenya,Sorghum,40.03,82,Yes,SMS,278.2,Organic,Sprinkler,No,815.66
Prairie Farmers Group,Tanzania,Rice,70.2,20,No,Mobile Apps,628.86,Organic,Sprinkler,Yes,566.24
Meadow Agri Society,Tanzania,Maize,9.7,79,No,None,843.68,Organic,Drip,No,956.64
Harvest Agricultural Association,South Africa,Sorghum,71.54,32,No,Mobile Apps,143.98,Organic,Sprinkler,No,836.18
Harvest Agri Society,South Africa,Rice,97.31,4,No,None,637.26,None,Drip,No,414.13
Savannah Cultivators Club,Ghana,Rice,54.21,23,No,Mobile Apps,678.86,Organic,Sprinkler,Yes,995.25
Savannah Cultivators Club,Tanzania,Barley,50.35,62,Yes,Mobile Apps,642.13,None,Drip,No,551.06
Sunrise Farmers Union,Kenya,Sorghum,19.54,78,No,Mobile Apps,685.03,None,Sprinkler,Yes,1059.91
Meadow Farmers Union,South Africa,Rice,63.75,25,No,SMS,668.24,None,None,Yes,684.04
Prairie Cultivators Club,South Africa,Barley,59.45,88,No,None,217.36,None,None,Yes,670.9
Golden Agri Society,Ghana,Maize,65.54,91,Yes,Mobile Apps,311.44,Inorganic,Drip,No,409.45
Valley Agricultural Association,Ghana,Barley,3.58,32,Yes,SMS,657.09,Inorganic,Sprinkler,Yes,1190.18
Harvest Farmers Group,Ghana,Maize,55.32,17,Yes,Mobile Apps,115.92,Inorganic,None,Yes,889.6
Savannah Agricultural Association,Nigeria,Wheat,59.9,17,Yes,Mobile Apps,671.27,Inorganic,Sprinkler,No,738.18
Mountain Cultivators Club,Kenya,Wheat,21.55,37,Yes,None,698.85,Inorganic,Sprinkler,No,477.3
Harvest Cultivators Club,Nigeria,Barley,21.62,32,No,Mobile Apps,315.26,Organic,Sprinkler,No,959.32
Valley Agri Society,South Africa,Wheat,28.35,26,No,None,638.32,Inorganic,None,No,626.18
Mountain Agri Society,Ghana,Sorghum,71.46,48,Yes,SMS,580.68,Organic,Drip,Yes,1190.62
Prairie Agri Society,Ghana,Barley,61.02,49,Yes,SMS,334.62,Organic,None,Yes,1160.44
Harvest Farmers Union,Ghana,Rice,84.73,14,Yes,Mobile Apps,516.68,None,Drip,Yes,988.24
Sunrise Farmers Group,Tanzania,Sorghum,30.27,76,No,SMS,918.66,None,None,Yes,1176.86
Golden Farmers Union,Kenya,Barley,91.29,51,Yes,None,483.94,None,Sprinkler,Yes,484.51
Golden Cultivators Club,Nigeria,Maize,74.63,97,Yes,None,666.86,Inorganic,Sprinkler,No,623.93
Savannah Cultivators Club,Kenya,Wheat,40.11,67,Yes,SMS,131.82,Organic,Sprinkler,Yes,602.59
Mountain Agricultural Association,Ghana,Wheat,10.43,98,No,None,170.02,Inorganic,None,No,457.61
Prairie Agri Society,South Africa,Wheat,26.44,18,Yes,None,173.18,None,None,No,1177.78
Savannah Farmers Union,Tanzania,Barley,95.72,94,No,Mobile Apps,800.42,None,Drip,Yes,447.98
Green Agricultural Association,Kenya,Sorghum,31.73,24,No,Mobile Apps,415.23,Organic,None,Yes,1085.35
Valley Farmers Union,South Africa,Maize,33.66,75,No,None,304.85,Organic,Drip,Yes,1014.53
Mountain Agri Society,Ghana,Wheat,19.77,75,No,SMS,772.59,None,None,No,700.69
Sunrise Agricultural Association,Ghana,Sorghum,80.88,24,No,None,252.96,Inorganic,Sprinkler,No,415.05
Golden Growers Coalition,Ghana,Rice,28.29,32,Yes,Mobile Apps,321.84,Inorganic,None,No,404.88
Harvest Farmers Union,Ghana,Rice,33.7,59,No,SMS,487.84,Organic,Sprinkler,Yes,563.2
Valley Agri Society,Tanzania,Maize,42.02,36,No,None,398.29,None,None,No,795.1
Meadow Growers Coalition,Tanzania,Wheat,43.94,91,No,SMS,626.85,Inorganic,Drip,No,766.33
Sunrise Agri Society,Kenya,Rice,41.72,42,Yes,SMS,404.06,Organic,None,No,868.23
Harvest Cultivators Club,Ghana,Sorghum,50.87,8,No,SMS,453.66,Organic,Sprinkler,No,1017.57
Valley Cultivators Club,Tanzania,Sorghum,81.64,13,No,None,876.6,Organic,None,Yes,701.88
Green Farmers Group,South Africa,Rice,82.11,2,No,Mobile Apps,896.08,Inorganic,Drip,No,528.29
Sunrise Agricultural Association,Tanzania,Wheat,80.03,68,Yes,SMS,844.94,Organic,Drip,Yes,1040.04
Meadow Cultivators Club,Tanzania,Maize,11.01,55,No,SMS,878.35,Inorganic,Drip,Yes,666.15
Meadow Growers Coalition,Kenya,Wheat,80.17,25,No,None,612.76,Organic,Drip,Yes,629.51
Prairie Growers Coalition,Tanzania,Barley,12.9,52,No,Mobile Apps,681.61,Inorganic,None,Yes,1011.45
Sunrise Farmers Group,South Africa,Rice,13.35,40,No,Mobile Apps,601.46,None,Drip,No,1147.31
Golden Cultivators Club,Ghana,Barley,94.84,81,No,None,807.03,Inorganic,None,Yes,1131.97
Golden Growers Coalition,Nigeria,Rice,82.12,20,No,SMS,595.9,None,None,Yes,509.95
Harvest Farmers Union,Kenya,Maize,55.69,38,No,None,199.97,Organic,None,No,802.53
Harvest Cultivators Club,South Africa,Wheat,87.62,79,Yes,Mobile Apps,828.62,Inorganic,Drip,No,474.3
Golden Farmers Group,Kenya,Wheat,98.95,22,Yes,SMS,784.53,Organic,Drip,No,1168.78
River Agricultural Association,Ghana,Rice,61.45,92,Yes,SMS,838.27,None,None,No,572.18
Mountain Growers Coalition,Tanzania,Sorghum,61.68,73,No,Mobile Apps,271.39,Organic,None,Yes,557.94
Prairie Agri Society,Tanzania,Barley,75.69,57,Yes,SMS,344.46,Organic,None,No,1111.11
Sunrise Growers Coalition,South Africa,Wheat,23.98,68,No,None,366.18,Organic,Sprinkler,No,1174.28
Valley Farmers Union,Ghana,Wheat,17.55,74,Yes,Mobile Apps,557.27,None,Sprinkler,Yes,958.11
Valley Agri Society,Nigeria,Rice,76.2,28,Yes,Mobile Apps,220.49,None,Drip,Yes,496.8
Golden Farmers Group,Nigeria,Sorghum,35.15,61,No,SMS,446.84,Inorganic,Sprinkler,No,788.68
Prairie Agri Society,Tanzania,Barley,14.37,52,No,Mobile Apps,263.94,Inorganic,None,Yes,1053.28
Harvest Cultivators Club,Ghana,Sorghum,32.17,44,No,None,338.29,Inorganic,None,No,857.98
Golden Agri Society,Ghana,Sorghum,36.51,26,No,Mobile Apps,735.75,Inorganic,Drip,No,506.08
Meadow Cultivators Club,South Africa,Rice,96.56,33,No,SMS,869.33,Organic,Drip,Yes,537.51
Mountain Farmers Union,Nigeria,Sorghum,70.1,13,Yes,Mobile Apps,120.62,None,Sprinkler,Yes,1091.31
Green Cultivators Club,South Africa,Barley,53.55,40,No,SMS,609.31,None,None,Yes,821.62
Valley Agri Society,Kenya,Maize,96.92,73,Yes,SMS,132.45,Organic,Drip,Yes,964.67
Savannah Growers Coalition,Ghana,Maize,90.41,59,Yes,None,176.72,Inorganic,Drip,No,698.45
Valley Farmers Union,Nigeria,Barley,51.69,41,No,Mobile Apps,734.58,None,Sprinkler,No,825.99
Savannah Cultivators Club,South Africa,Rice,90.66,50,Yes,None,762.05,Organic,Drip,Yes,1181.68
Savannah Farmers Group,Tanzania,Wheat,41.03,74,Yes,None,832.58,Organic,Sprinkler,No,663.76
Savannah Farmers Group,Kenya,Rice,23.81,10,No,Mobile Apps,526.82,Inorganic,None,Yes,939.83
Meadow Agricultural Association,South Africa,Barley,24.04,34,No,None,873.83,Inorganic,Sprinkler,No,538.0
River Growers Coalition,Tanzania,Sorghum,66.57,18,Yes,None,250.15,None,Drip,No,497.39
River Agri Society,Nigeria,Maize,50.61,87,Yes,SMS,324.74,None,Sprinkler,No,1026.91
Meadow Farmers Group,Nigeria,Sorghum,66.24,64,Yes,None,221.05,Inorganic,Sprinkler,No,1075.29
Golden Agricultural Association,Kenya,Rice,68.92,75,No,Mobile Apps,817.78,None,None,No,934.65
Golden Cultivators Club,Tanzania,Barley,3.21,60,No,SMS,305.81,Inorganic,Sprinkler,No,526.56
Prairie Cultivators Club,Ghana,Maize,6.35,46,No,None,239.96,Organic,Drip,Yes,592.47
Mountain Cultivators Club,Nigeria,Barley,53.74,13,Yes,None,660.8,Organic,Drip,Yes,1128.94
Harvest Agri Society,Ghana,Maize,19.91,66,No,Mobile Apps,169.37,Organic,None,Yes,630.96
Mountain Agri Society,Ghana,Maize,63.62,51,No,None,140.41,None,None,No,1055.09
Harvest Cultivators Club,South Africa,Maize,55.67,31,Yes,Mobile Apps,196.05,Inorganic,None,Yes,628.75
Mountain Agri Society,South Africa,Rice,58.99,79,Yes,None,100.22,Organic,Drip,No,1151.57
Harvest Growers Coalition,Nigeria,Barley,30.94,9,Yes,None,727.29,Organic,Sprinkler,No,1131.56
Savannah Agri Society,Ghana,Wheat,64.34,16,No,Mobile Apps,606.01,None,Drip,No,434.61
Green Farmers Group,South Africa,Wheat,83.12,39,No,SMS,288.89,None,Drip,Yes,1016.33
Harvest Agri Society,Tanzania,Wheat,99.81,67,No,Mobile Apps,309.7,Organic,None,No,535.57
Sunrise Cultivators Club,Tanzania,Barley,84.01,62,No,SMS,829.87,None,None,No,572.22
Meadow Growers Coalition,Tanzania,Sorghum,56.19,14,No,SMS,551.64,None,Sprinkler,Yes,767.88
Mountain Agri Society,Tanzania,Barley,20.15,96,No,Mobile Apps,728.68,None,Sprinkler,Yes,861.05
Golden Farmers Group,Ghana,Maize,68.46,38,No,Mobile Apps,507.48,None,Sprinkler,Yes,660.64
Prairie Agricultural Association,Tanzania,Sorghum,93.83,56,Yes,None,313.95,Inorganic,Sprinkler,No,860.31
River Agri Society,Ghana,Maize,21.97,9,No,None,973.36,None,Drip,No,536.53
Prairie Cultivators Club,Nigeria,Maize,26.34,70,No,SMS,609.08,None,Sprinkler,Yes,417.87
Mountain Agri Society,Nigeria,Barley,15.75,96,Yes,None,217.88,Inorganic,Drip,No,856.98
Sunrise Farmers Group,Tanzania,Wheat,73.94,16,Yes,Mobile Apps,465.48,None,Drip,No,813.93
Meadow Farmers Group,Tanzania,Sorghum,41.25,75,Yes,SMS,396.4,None,Sprinkler,No,951.72
Valley Cultivators Club,Tanzania,Rice,7.21,16,Yes,None,292.68,Organic,Sprinkler,Yes,919.86
Prairie Farmers Group,Nigeria,Wheat,87.62,15,No,None,940.1,Organic,Drip,No,1117.99
River Farmers Union,South Africa,Rice,56.21,77,No,Mobile Apps,892.83,Organic,None,Yes,767.57
Mountain Agri Society,Nigeria,Barley,33.78,2,Yes,Mobile Apps,279.23,Inorganic,Sprinkler,Yes,406.7
Golden Agricultural Association,Tanzania,Sorghum,35.05,50,Yes,None,416.93,None,None,Yes,904.52
Valley Growers Coalition,South Africa,Barley,29.73,93,No,SMS,786.08,Inorganic,Drip,No,940.11
Prairie Agricultural Association,South Africa,Rice,46.09,45,Yes,SMS,287.66,Inorganic,None,No,817.2
River Farmers Union,Kenya,Maize,34.37,54,Yes,Mobile Apps,632.41,None,Drip,No,951.44
Golden Cultivators Club,Ghana,Barley,55.25,98,No,Mobile Apps,729.81,None,None,Yes,658.87
Golden Farmers Group,Tanzania,Sorghum,77.58,25,Yes,Mobile Apps,688.58,Organic,None,Yes,519.05
Prairie Farmers Union,Ghana,Barley,67.77,75,No,None,735.77,None,None,No,931.64
Harvest Cultivators Club,Kenya,Wheat,30.15,30,Yes,None,736.03,Inorganic,Drip,No,596.15
Sunrise Cultivators Club,Ghana,Barley,53.35,80,No,Mobile Apps,968.33,Organic,Drip,Yes,765.05
Mountain Agri Society,Tanzania,Rice,84.17,100,Yes,SMS,411.85,Inorganic,Drip,No,793.3
Mountain Growers Coalition,Kenya,Barley,7.75,71,No,Mobile Apps,890.73,None,Sprinkler,Yes,781.76
Savannah Cultivators Club,Ghana,Sorghum,8.75,18,No,Mobile Apps,119.63,Organic,Drip,Yes,878.76
Valley Growers Coalition,Nigeria,Barley,56.06,89,Yes,SMS,359.38,None,Sprinkler,Yes,423.56
Golden Agri Society,South Africa,Barley,64.27,67,Yes,SMS,143.79,Organic,Drip,Yes,1191.75
Harvest Agri Society,Kenya,Sorghum,21.93,14,Yes,SMS,686.08,Organic,Sprinkler,No,973.05
Meadow Growers Coalition,Nigeria,Barley,74.78,57,Yes,SMS,190.71,Organic,None,Yes,740.31
Harvest Farmers Union,Tanzania,Sorghum,64.98,77,Yes,None,861.14,None,None,Yes,553.06
Valley Agricultural Association,South Africa,Rice,92.41,29,No,None,681.93,Organic,Drip,No,464.14
Meadow Growers Coalition,Kenya,Sorghum,17.73,47,No,Mobile Apps,125.93,Organic,Sprinkler,Yes,937.75
River Agri Society,South Africa,Rice,75.39,55,No,None,743.3,None,None,Yes,653.56
Green Farmers Union,Kenya,Rice,9.28,41,No,Mobile Apps,875.83,Inorganic,None,Yes,583.58
Mountain Agricultural Association,Kenya,Sorghum,56.96,23,Yes,Mobile Apps,695.01,None,Sprinkler,Yes,703.96
Sunrise Agri Society,Ghana,Barley,55.64,51,No,SMS,127.47,None,Drip,No,874.34
Sunrise Agricultural Association,South Africa,Wheat,39.45,42,No,SMS,872.13,Organic,None,No,937.36
River Farmers Group,South Africa,Sorghum,84.61,33,No,None,759.22,None,Drip,No,916.14
Mountain Growers Coalition,Nigeria,Barley,1.43,59,Yes,None,440.61,None,Drip,No,1090.61
Sunrise Agri Society,Tanzania,Rice,52.5,82,Yes,None,395.77,None,Sprinkler,Yes,575.01
Mountain Farmers Union,Nigeria,Maize,22.5,2,No,None,531.84,Organic,Sprinkler,Yes,909.4
Savannah Agricultural Association,Ghana,Wheat,74.61,67,Yes,SMS,880.39,None,None,No,480.89
Savannah Agricultural Association,Kenya,Barley,5.26,10,No,SMS,326.85,Organic,Sprinkler,Yes,838.35
Savannah Agricultural Association,Ghana,Wheat,83.32,12,Yes,None,190.87,None,None,No,867.17
Mountain Agri Society,Ghana,Maize,83.97,49,Yes,Mobile Apps,878.17,Organic,None,Yes,572.99
Meadow Agricultural Association,Nigeria,Maize,83.45,81,Yes,SMS,123.66,Organic,None,No,713.35
River Cultivators Club,Kenya,Maize,16.1,18,No,SMS,919.9,None,Drip,No,1061.75
Mountain Agricultural Association,Tanzania,Sorghum,63.41,43,Yes,SMS,375.17,Inorganic,Drip,No,518.73
Golden Growers Coalition,Ghana,Wheat,2.42,32,No,SMS,557.4,None,Sprinkler,No,747.6
Golden Agri Society,Tanzania,Sorghum,84.95,37,Yes,None,219.07,Inorganic,Sprinkler,Yes,1146.19
Golden Cultivators Club,Kenya,Maize,72.57,2,No,None,912.03,Organic,None,Yes,803.29
Harvest Farmers Union,Kenya,Barley,53.58,98,No,Mobile Apps,774.85,Inorganic,None,Yes,980.11
Green Farmers Union,Nigeria,Maize,73.33,64,No,SMS,931.74,Inorganic,Drip,No,1061.49
